title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	extract_protocol_ch1.2	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_zip.postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	supplementary_file_2	experiment	study	sample	experiment.1	run	ftp
healthy cortex cell 122	GSM1657992	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	astrocytes	age: postnatal 47 years	c1 chip id: nochipID12	experiment_sample_name: AB_S1	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486263	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995982	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657992/suppl/GSM1657992_nochipID12.C05.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995982	SRX995982	SRP057196	SRS910519	SRX995982	SRR1974664	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995982/SRR1974664/SRR1974664.sra
healthy cortex cell 123	GSM1657993	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	endothelial	age: postnatal 47 years	c1 chip id: nochipID12	experiment_sample_name: AB_S1	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486264	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995983	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657993/suppl/GSM1657993_nochipID12.C23.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995983	SRX995983	SRP057196	SRS910520	SRX995983	SRR1974665	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995983/SRR1974665/SRR1974665.sra
healthy cortex cell 124	GSM1657994	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	microglia	age: postnatal 47 years	c1 chip id: nochipID12	experiment_sample_name: AB_S1	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486265	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995984	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657994/suppl/GSM1657994_nochipID12.C73.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995984	SRX995984	SRP057196	SRS910518	SRX995984	SRR1974666	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995984/SRR1974666/SRR1974666.sra
healthy cortex cell 125	GSM1657995	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	endothelial	age: postnatal 47 years	c1 chip id: nochipID12	experiment_sample_name: AB_S1	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486206	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995985	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657995/suppl/GSM1657995_nochipID12.C84.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995985	SRX995985	SRP057196	SRS910516	SRX995985	SRR1974667	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995985/SRR1974667/SRR1974667.sra
healthy cortex cell 126	GSM1657996	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	microglia	age: postnatal 47 years	c1 chip id: nochipID12	experiment_sample_name: AB_S1	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486207	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995986	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657996/suppl/GSM1657996_nochipID12.C87.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995986	SRX995986	SRP057196	SRS910517	SRX995986	SRR1974668	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995986/SRR1974668/SRR1974668.sra
healthy cortex cell 127	GSM1657997	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	microglia	age: postnatal 63 years	c1 chip id: nochipID14	experiment_sample_name: AB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486208	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995987	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657997/suppl/GSM1657997_nochipID14.C08.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995987	SRX995987	SRP057196	SRS910515	SRX995987	SRR1974669	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995987/SRR1974669/SRR1974669.sra
healthy cortex cell 128	GSM1657998	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	astrocytes	age: postnatal 63 years	c1 chip id: nochipID14	experiment_sample_name: AB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486209	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995988	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657998/suppl/GSM1657998_nochipID14.C13.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995988	SRX995988	SRP057196	SRS910514	SRX995988	SRR1974670	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995988/SRR1974670/SRR1974670.sra
healthy cortex cell 129	GSM1657999	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	microglia	age: postnatal 63 years	c1 chip id: nochipID14	experiment_sample_name: AB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486210	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995989	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1657nnn/GSM1657999/suppl/GSM1657999_nochipID14.C29.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995989	SRX995989	SRP057196	SRS910512	SRX995989	SRR1974671	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995989/SRR1974671/SRR1974671.sra
healthy cortex cell 130	GSM1658000	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	astrocytes	age: postnatal 63 years	c1 chip id: nochipID14	experiment_sample_name: AB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486211	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995990	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658000/suppl/GSM1658000_nochipID14.C45.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995990	SRX995990	SRP057196	SRS910513	SRX995990	SRR1974672	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995990/SRR1974672/SRR1974672.sra
healthy cortex cell 131	GSM1658001	Public on May 20 2015	Apr 15 2015	Nov 06 2015	SRA	1	Brain	Homo sapiens	tissue: cortex	neurons	age: postnatal 63 years	c1 chip id: nochipID14	experiment_sample_name: AB_S2	total RNA	C1 autoprep standard protocol	C1 autoprep standard protocol, followed by clontech single cell RNA-seq for Fluidigm C1 protocol	Nextera tagmentation according to Fluidigms standard protocol for single cell RNA-seq on the C1 autoprep system.	9606	Single cell from healthy human cortex	Short read trimming: Prinseq to remove short reads (-min_len 30) trim the first 10 bp on the 5’-end (-trim_left 10), trim reads with low quality on the 3’-end (-trim_qual_right 25) and filter low complexity reads (-lc_method entropy \-lc_threshold 65).  We used FASTQC to determine overrepresented sequences and removed those using cutadapt (-e 0.15 –m 30). We then used Prinseq to remove orphan pairs less than 30bp in length followed by removal of nextera adapters using Trim Galore  (--stringency 1).	Read alignment: reads were aligned to the hg19 genome with STAR using the following options (-outFilterType BySJout \--outFilterMultimapNmax 20 \--alignSJoverhangMin 8 \--alignSJDBoverhangMin 1 \--outFilterMismatchNmax 999 \--outFilterMismatchNoverLmax 0.04 \--alignIntronMin 20 \--alignIntronMax 1000000 \--alignMatesGapMax 1000000 \--outSAMstrandField intronMotif ).	Per-gene read assignement: aligned reads were converted to counts for every gene using HTSeq (-m intersection-nonempty \-s no).	Genome_build: hg19	Supplementary_files_format_and_content: tab-delimited text files with raw read values for each sample	GPL15520	Martin,,Enge	martin.enge@ki.se	Dep of Oncology-Pathology	Karolinska Institute	CCK, Z4	Stockholm	S-171 76	Sweden	0	Illumina MiSeq	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN03486212	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX995991	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1658nnn/GSM1658001/suppl/GSM1658001_nochipID14.C89.csv.gz	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995991	SRX995991	SRP057196	SRS910511	SRX995991	SRR1974673	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX995/SRX995991/SRR1974673/SRR1974673.sra
